0  1   PCT_Renter  PCT_Owner   PCT_Vacant
-91.52   43.73 72  25  3
-91.29   43.46 72  25  3
-91.06   43.19 72  25  3
-90.83   42.92 72  25  3
-91.27   43.73 72  25  3
-91.04   43.46 72  25  3
-90.81   43.19 72  25  3
-90.58   42.92 72  25  3
-91.02   43.73 72  25  3
-90.79   43.46 72  25  3
-90.56   43.19 72  25  3
-90.33   42.92 72  25  3
-90.77   43.73 72  25  3
-90.54   43.46 72  25  3
-90.31   43.19 72  25  3
-90.08   42.92 72  25  3
-90.52   43.73 72  25  3
-90.29   43.46 72  25  3
-90.06   43.19 72  25  3
-89.83   42.92 72  25  3
-90.27   43.73 72  25  3
-90.04   43.46 72  25  3
-89.81   43.19 72  25  3
-89.58   42.92 72  25  3
-90.02   43.73 72  25  3
-89.79   43.46 72  25  3
-89.56   43.19 72  25  3
-89.33   42.92 72  25  3
-79.52   40.73 72  25  3
-79.29   40.46 72  25  3
-79.06   40.19 72  25  3
-78.83   39.92 72  25  3
-79.27   40.73 72  25  3
-79.04   40.46 72  25  3
-78.81   40.19 72  25  3
-78.58   39.92 72  25  3
-79.02   40.73 72  25  3
-78.79   40.46 72  25  3
-78.56   40.19 72  25  3
-78.33   39.92 72  25  3
-78.77   40.73 72  25  3
-78.54   40.46 72  25  3
-78.31   40.19 72  25  3
-78.08   39.92 72  25  3
-78.52   40.73 72  25  3
-78.29   40.46 72  25  3
-78.06   40.19 72  25  3
-77.83   39.92 72  25  3
-78.27   40.73 72  25  3
-78.04   40.46 72  25  3
-77.81   40.19 72  25  3
-77.58   39.92 72  25  3
-78.02   40.73 72  25  3
-77.79   40.46 72  25  3
-77.56   40.19 72  25  3
-77.33   39.92 72  25  3
